id,title,thumbnail,language_dependence,playersBest,minPlayer,maxPlayer,minPlayTime,maxPlayTime,minAge,usersrated,average,bayesaverage,stddev,median,owned,wishing,numcomments,numweights,averageweight
266192,Wingspan,https://cf.geekdo-images.com/yLZJCVLlIx4c7eJEWUNJ7w__thumb/img/VNToqgS2-pOGU6MuvIkMPKn_y-s=/fit-in/200x150/filters:strip_icc()/pic4458123.jpg,4,3,1,5,40,70,10,63596,8.09026,7.9384,1.34496,0,95939,14986,8723,2168,2.4456
205637,Arkham Horror: The Card Game,https://cf.geekdo-images.com/RdCWCXPnBGSxoOhk5Hkq_g__thumb/img/QyBd2yZWmWOdudkHw0YF1__74ak=/fit-in/200x150/filters:strip_icc()/pic6530423.jpg,4,2,1,4,60,120,14,35623,8.15428,7.92345,1.5152,0,64231,9004,5624,1140,3.4956
266507,Clank!: Legacy – Acquisitions Incorporated,https://cf.geekdo-images.com/hc2NDafu5c24iLJh_IZmyg__thumb/img/8TA1Gn7jERN4yhtXD-xBCGk-QfM=/fit-in/200x150/filters:strip_icc()/pic4885780.png,4,4,2,4,90,120,13,6029,8.6491,7.89559,1.37793,0,11917,4745,991,92,2.7174
237182,Root,https://cf.geekdo-images.com/JUAUWaVUzeBgzirhZNmHHw__thumb/img/ACovMZzGGIsBRyEQXFnsT8282NM=/fit-in/200x150/filters:strip_icc()/pic4254509.jpg,4,4,2,4,60,90,10,35692,8.0949,7.89299,1.43275,0,54671,15783,5313,1435,3.7422
246900,Eclipse: Second Dawn for the Galaxy,https://cf.geekdo-images.com/Oh3kHw6lweg6ru71Q16h2Q__thumb/img/e9XZdQe1ZcPpaq4Gy31OoWBB_V0=/fit-in/200x150/filters:strip_icc()/pic5235277.jpg,1,4,2,6,60,200,14,7128,8.60639,7.88919,1.34065,0,10988,5850,1154,283,3.5936
183394,Viticulture Essential Edition,https://cf.geekdo-images.com/l_PRU2lVlX9seScRFcvFlA__thumb/img/pULDtVd75QZgGfvSMhr6Rs07vK8=/fit-in/200x150/filters:strip_icc()/pic6500949.jpg,3,3,1,6,45,90,13,38041,8.0409,7.88538,1.26618,0,52243,10669,5189,1130,2.8832
199792,Everdell,https://cf.geekdo-images.com/fjE7V5LNq31yVEW_yuqI-Q__thumb/img/Cf_mYxR_VvdjTEPXseSurni2JNI=/fit-in/200x150/filters:strip_icc()/pic3918905.png,4,3,1,4,40,80,13,34381,8.08744,7.88294,1.28063,0,52571,14938,4723,1026,2.8138
164928,Orléans,https://cf.geekdo-images.com/nagl1li6kYt9elV9jbfVQw__thumb/img/ykeqdM_Naz4IiqOgyB1arzteOiU=/fit-in/200x150/filters:strip_icc()/pic6228507.jpg,1,4,2,4,90,90,12,26062,8.07213,7.88187,1.16403,0,32223,7533,3875,905,3.0398
312484,Lost Ruins of Arnak,https://cf.geekdo-images.com/6GqH14TJJhza86BX5HCLEQ__thumb/img/J8SVmGOJXZGxNjkT3xYNQU7Haxg=/fit-in/200x150/filters:strip_icc()/pic5674958.jpg,3,3,1,4,30,120,12,23882,8.10986,7.87522,1.21059,0,36660,9701,3131,827,2.8779
96848,Mage Knight Board Game,https://cf.geekdo-images.com/DUO2hz9AlLOH8p9ED-lCWg__thumb/img/0bWDfnjzYebauQZrHmjyHkuUttI=/fit-in/200x150/filters:strip_icc()/pic1083380.jpg,4,1,1,4,60,240,14,30205,8.0929,7.87068,1.62375,0,42059,11235,5955,2517,4.3341
175914,Food Chain Magnate,https://cf.geekdo-images.com/Wtxml94LAXsIWQCxGPS63Q__thumb/img/LKU2KoMev222qUIKyNqaCF_ZLPY=/fit-in/200x150/filters:strip_icc()/pic2649434.png,2,3,2,5,120,240,14,16522,8.10887,7.83355,1.58393,0,20422,8563,2854,818,4.2078
3076,Puerto Rico,https://cf.geekdo-images.com/QFiIRd2kimaMqTyWsX0aUg__thumb/img/5fLo89ChZH6Wzukk36bhZ-EpBS0=/fit-in/200x150/filters:strip_icc()/pic158548.jpg,3,4,3,5,90,150,12,66721,7.95398,7.82191,1.38933,0,77206,9453,12387,6099,3.2759
285774,Marvel Champions: The Card Game,https://cf.geekdo-images.com/kRvUgYiaOq07kC67ZK5UoQ__thumb/img/SDNWntiB06KhAINl06CDPkoipDc=/fit-in/200x150/filters:strip_icc()/pic4900321.jpg,4,1,1,4,45,90,14,16479,8.19148,7.81541,1.42885,0,28305,4500,2240,523,2.8891
102794,Caverna: The Cave Farmers,https://cf.geekdo-images.com/rz22tqa5PCYvK9oDjIbvxg__thumb/img/3Ae-ieYpDv6w0vuNsGjOmXdcCrU=/fit-in/200x150/filters:strip_icc()/pic1790789.jpg,3,4,1,7,30,210,12,30746,7.99176,7.81461,1.34203,0,39405,10891,4931,1543,3.7874
192135,Too Many Bones,https://cf.geekdo-images.com/wKwRk0wYBcrtLAfgn4PCdg__thumb/img/mJNzYNKvYWDlaaD12V32BJ453d0=/fit-in/200x150/filters:strip_icc()/pic6624445.png,4,3,1,4,60,120,12,8705,8.41503,7.81434,1.52316,0,12959,8695,1729,355,3.8507
251247,Barrage,https://cf.geekdo-images.com/jEPmWvvYpqkWrKOzqIHFsg__thumb/img/kMLIpeqA6UcUvQg2AdMwwQoEIfU=/fit-in/200x150/filters:strip_icc()/pic4336469.png,1,4,1,4,60,120,14,11014,8.22194,7.80963,1.43747,0,14930,5020,1749,690,4.0696
170216,Blood Rage,https://cf.geekdo-images.com/HkZSJfQnZ3EpS214xtuplg__thumb/img/NLhVdU8xazrgS5dA6nVCYmN2DNI=/fit-in/200x150/filters:strip_icc()/pic2439223.jpg,3,4,2,4,60,90,14,39785,7.97746,7.80356,1.4124,0,47650,11793,5959,1302,2.8817
31260,Agricola,https://cf.geekdo-images.com/dDDo2Hexl80ucK1IlqTk-g__thumb/img/GHGdnCfeysoP_34gLnofJcNivW8=/fit-in/200x150/filters:strip_icc()/pic831744.jpg,4,3,1,5,30,150,12,67593,7.91426,7.79599,1.55173,0,80030,11343,13143,6153,3.6384
256960,Pax Pamir: Second Edition,https://cf.geekdo-images.com/oSM_AuKYfGIwOtKbVEsoVg__thumb/img/NyoufH5YBFCh1rKy4uy76bR4ITk=/fit-in/200x150/filters:strip_icc()/pic4503733.png,3,4,1,5,45,120,13,8332,8.33745,7.78602,1.41869,0,14006,4323,1656,443,3.833
247763,Underwater Cities,https://cf.geekdo-images.com/PwOwTVHovJAUQgghnGqCOg__thumb/img/1gGYiRBx7W4wyLy826EHGTdjsKA=/fit-in/200x150/filters:strip_icc()/pic4837710.png,3,2,1,4,80,150,12,14238,8.09311,7.77742,1.18565,0,19090,6360,2105,528,3.6004
276025,Maracaibo,https://cf.geekdo-images.com/rMNa0k05zMdKgSEp26Q3Tw__thumb/img/lVlnhYyxlZb3WuKZJHLoJcFHEjs=/fit-in/200x150/filters:strip_icc()/pic4917407.jpg,2,3,1,4,30,120,12,12108,8.15018,7.77471,1.28364,0,17989,5927,1820,647,3.8903
221107,Pandemic Legacy: Season 2,https://cf.geekdo-images.com/Qtkb-UTvHa0-kxt_MK1nKw__thumb/img/MfKsnJUTx9IQV-o12Fahxx5IaDQ=/fit-in/200x150/filters:strip_icc()/pic3763549.jpg,4,4,2,4,60,60,14,14426,8.09044,7.7724,1.68322,0,28068,4402,2238,262,3.2481
205059,Mansions of Madness: Second Edition,https://cf.geekdo-images.com/LIooA9bTdjnE9qmhjL-UFw__thumb/img/kwaa7aI2sMeyWV5JSRKcKrS5hC8=/fit-in/200x150/filters:strip_icc()/pic3118622.jpg,4,3,1,5,120,180,14,30280,8.00563,7.76589,1.48903,0,47292,11300,4091,615,2.6602
185343,Anachrony,https://cf.geekdo-images.com/31quLNzteInnevVRAABoow__thumb/img/a0G93aMOKp3_mmnCURYWuZd210U=/fit-in/200x150/filters:strip_icc()/pic3499707.jpg,1,3,1,4,30,120,15,14405,8.11017,7.76455,1.38953,0,18819,7009,2544,801,4.0087
284083,The Crew: The Quest for Planet Nine,https://cf.geekdo-images.com/98LnQShydr11OBKS46xY-Q__thumb/img/et-fnuozyOdBOVL-5kSS3_7I8fw=/fit-in/200x150/filters:strip_icc()/pic5687013.jpg,1,4,2,5,20,20,10,29369,7.92694,7.7538,1.28337,0,57786,5059,3817,585,1.9829
126163,Tzolk'in: The Mayan Calendar,https://cf.geekdo-images.com/kXf7mDyDYuHg6oe8yTUIEA__thumb/img/or9mAn4ClljY_wO_zvsLJDqs9tU=/fit-in/200x150/filters:strip_icc()/pic4604439.jpg,1,4,2,4,90,90,13,34607,7.88612,7.73605,1.26047,0,40401,8591,5088,1792,3.6741
2651,Power Grid,https://cf.geekdo-images.com/yd6LuatytHRhcFCxCf-EEg__thumb/img/jWTonZ5oYNlPzpELKHIJGWSS0Y8=/fit-in/200x150/filters:strip_icc()/pic4459753.jpg,1,4,2,6,120,120,12,60087,7.83595,7.73,1.33565,0,72266,10821,10802,4810,3.2634
